"","date","max_temperature","avg_hourly_temperature","avg_temperature","min_temperature","max_humidex","min_windchill","max_relative_humidity","avg_hourly_relative_humidity","avg_relative_humidity","min_relative_humidity","max_dew_point","avg_hourly_dew_point","avg_dew_point","min_dew_point","max_wind_speed","avg_hourly_wind_speed","avg_wind_speed","min_wind_speed","max_wind_gust","wind_gust_dir_10s","max_pressure_sea","avg_hourly_pressure_sea","avg_pressure_sea","min_pressure_sea","max_pressure_station","avg_hourly_pressure_station","avg_pressure_station","min_pressure_station","max_visibility","avg_hourly_visibility","avg_visibility","min_visibility","max_health_index","avg_hourly_health_index","avg_health_index","min_health_index","heatdegdays","cooldegdays","growdegdays_5","growdegdays_7","growdegdays_10","precipitation","rain","snow","snow_on_ground","sunrise","sunset","daylight","sunrise_f","sunset_f","min_uv_forecast","max_uv_forecast","min_high_temperature_forecast","max_high_temperature_forecast","min_low_temperature_forecast","max_low_temperature_forecast","solar_radiation","max_cloud_cover_4","avg_hourly_cloud_cover_4","avg_cloud_cover_4","min_cloud_cover_4","max_cloud_cover_8","avg_hourly_cloud_cover_8","avg_cloud_cover_8","min_cloud_cover_8","max_cloud_cover_10","avg_hourly_cloud_cover_10","avg_cloud_cover_10","min_cloud_cover_10"
"11","2022-01-06",3.9,0.8,0.19,-3.5,NA,-7,99,98,98,97,3.9,0.5,0.5,-2.9,26,16.83,15,4,38,10,101.05,100.12,100.04,99.03,101,100.07,99.99,98.98,24100,10545.8,12350,600,2.5,2.1,2.1,1.8,17.8,0,0,0,0,16.4,6.8,12,12,"08:07:00","16:30:00",8.38,8.12,16.5,NA,NA,3,3,4,4,NA,NA,NA,NA,NA,8,7.9,6.5,5,NA,NA,NA,NA
"12","2022-01-05",0.8,-1.56,-1.29,-3.4,NA,-10,98,90.9,NA,82,0.2,-2.9,-2.2,-4.6,23,13.12,15,7,NA,NA,102.52,102.08,101.87,101.22,102.47,102.03,101.82,101.17,32200,19091.7,16400,600,3.2,2.2,2.5,1.7,19.3,0,0,0,0,0.9,NA,NA,0,"08:07:00","16:29:00",8.37,8.12,16.48,NA,NA,2,2,-2,0,NA,NA,NA,NA,NA,8,7.3,5,2,NA,NA,NA,NA
"13","2022-01-04",4.9,2.12,2.55,0.2,NA,NA,99,90.2,85,71,1.6,0.6,0.5,-0.6,31,16.38,16.5,2,46,20,101.75,101.31,101.25,100.75,101.7,101.26,101.2,100.7,40200,19437.5,22500,4800,2.9,2.2,2.4,1.8,15.4,0,0,0,0,7,5.6,0.4,0,"08:07:00","16:28:00",8.35,8.12,16.47,NA,NA,3,4,-2,-2,NA,NA,NA,NA,NA,8,7.5,5.5,3,NA,NA,NA,NA
"14","2022-01-03",5.4,3.35,3.5,1.6,NA,NA,96,87.3,84.5,73,3.1,1.4,1.2,-0.6,36,22.42,23,10,62,20,100.67,99.77,99.99,99.32,100.62,99.72,99.94,99.27,32200,29579.2,20950,9700,2.5,2.2,2.2,1.9,14.5,0,0,0,0,7.6,7.6,0,2,"08:08:00","16:27:00",8.32,8.13,16.45,NA,NA,2,4,1,1,NA,NA,NA,NA,NA,8,7.8,7,6,NA,NA,NA,NA
"15","2022-01-02",5,3.31,2.75,0.5,NA,NA,96,84.6,82,68,2.8,0.9,0.4,-1.9,44,30.17,32.5,21,68,14,101.16,100.39,100.27,99.37,101.11,100.34,100.22,99.32,48300,26158.3,26550,4800,2.4,2,2,1.7,15.2,0,0,0,0,8.6,4.9,3.7,7,"08:08:00","16:26:00",8.3,8.13,16.43,NA,NA,5,5,3,3,NA,NA,NA,NA,NA,8,8,8,8,NA,NA,NA,NA
"16","2022-01-01",1.4,-2.01,-4.2,-9.8,NA,-13,82,71.9,70.5,59,-3.4,-6.5,-6.2,-9.1,36,19.33,24,12,49,9,102.51,102.1,101.81,101.11,102.46,102.05,101.76,101.06,48300,35537.5,36200,24100,3.2,2.3,2.1,1,22.2,0,0,0,0,0,0,0,NA,"08:08:00","16:25:00",8.28,8.13,16.42,NA,NA,-1,-1,0,0,NA,NA,NA,NA,NA,8,7.9,7,6,NA,NA,NA,NA
"17","2021-12-31",-2.5,-6.64,-6.7,-10.9,NA,-17,93,74.8,72.5,52,-7.3,-10.7,-10.1,-12.8,18,9.96,9.5,1,NA,NA,102.41,101.9,101.78,101.14,102.36,101.85,101.72,101.09,48300,34183.3,36200,24100,4.1,2.6,3.1,2.1,24.7,0,0,0,0,0,0,0,NA,"08:08:00","16:24:00",8.27,8.13,16.4,1,1,-3,-2,-9,-7,NA,NA,NA,NA,NA,8,3.5,4.5,1,NA,NA,NA,NA
"18","2021-12-30",-0.7,-4.03,-4.39,-8.1,NA,-14,94,85,80,66,-4.3,-6.3,-7.1,-9.9,25,12.38,15,5,32,7,101.07,100.6,100.68,100.29,101.02,100.55,100.63,100.24,40200,24254.2,20500,800,3.6,2.5,2.7,1.8,22.4,0,0,0,0,4.7,NA,2,16,"08:08:00","16:23:00",8.25,8.13,16.38,1,1,-1,-1,-8,-7,NA,NA,NA,NA,NA,8,4.6,4.5,1,NA,NA,NA,NA
"19","2021-12-29",-4.1,-7.09,-7.9,-11.7,NA,-18,92,69.2,70,48,-6.2,-12.1,-11.1,-16,23,14.17,14,5,32,6,101.7,101.38,101.26,100.83,101.65,101.33,101.22,100.78,40200,28662.5,20300,400,3.4,2.6,2.7,2,25.9,0,0,0,0,0,0,0.2,3,"08:08:00","16:22:00",8.23,8.13,16.37,1,1,-6,-5,-8,-4,NA,NA,NA,NA,NA,8,4.6,4,0,NA,NA,NA,NA
"20","2021-12-28",-4.4,-8.05,-8.6,-12.8,NA,-20,91,80.9,79,67,-8.9,-10.8,-11.6,-14.3,17,9.12,10,3,NA,NA,101.32,101.15,101.14,100.96,101.27,101.1,101.09,100.91,40200,33512.5,32150,24100,3.9,2.6,3,2,26.6,0,0,0,0,0,0,0,1,"08:07:00","16:21:00",8.23,8.12,16.35,1,1,-5,-4,-10,-10,NA,NA,NA,NA,NA,8,5.3,4,0,NA,NA,NA,NA
